order_id;comments;total_orders;overall_rating;effectiveness;product_longevity;sport_type;date_created;sku
F-02-20508;;2;5;;;;2025-09-08 15:48:00;02-1045-1
F-02-20078;Super, hatte noch nie so eine gute Regeneration nach dem Laufen. ;2;5;;;;2025-09-08 14:20:00;02-1045-1
F-02-19948;;1;4;;;;2025-09-08 07:34:00;02-1113-2
F-02-19896;Sehr angenehm! ;2;5;;;;2025-09-08 07:24:00;02-1113-2
F-02-19875;;1;3;3;4;Triathlon;2025-09-07 18:00:00;02-1113-2
F-02-19862;Nach einer Belastung gleich das gel drauf und am nächsten Tag kaum Muskelkater ;5;5;;;;2025-09-05 15:48:00;02-1149
F-02-19887;Gesehen bei Instagram (Esther und Hendrik Pfeiffer), getestet und für gut befunden. Riecht angenehm, zieht schnell ein und findet sowohl vor, als auch nach dem Training Einsatz. Die Wirkung ist eher sanft, aber durchaus angenehm.;1;5;;;;2025-09-05 15:34:00;02-1113-2
F-02-19881;;1;1;;;;2025-09-05 14:33:00;02-1113-2
;;;;;;;;
;"Regeneration gefÃ¼hlt besser/schneller und mehr Leistung im Training""";3;5;;;;2025-09-04 21:18:00;02-1113-2
F-02-19806;;1;4;;;;2025-09-04 15:55:00;02-1149
F-02-19670;Seit fast einem Jahr nach sportlichen Aktivitäten im Einsatz. Es ist einfach gut und wirkt.;5;5;;;;2025-09-03 16:16:00;02-1113-2
F-02-19414;;1;5;;;;2025-09-03 08:37:00;02-1149
F-02-19414;Super Produkt. Hilft bei der Regeneration und riecht super;1;5;;;;2025-09-03 08:37:00;02-1045-1
F-02-19417;Zwar nicht gerade günstig aber jeden Cent wert!!! Ich habe noch nichts derartig wirksames erlebt zuvor. Es ist wirklich extrem ergiebig und man braucht nur ganz wenig. Ich komme so immer überraschend lange mit dem 50 ml aus und nutze es immer nach intensiven Läufen und nach Krafteinheiten. Absolute Empfehlung, LG;3;5;;;;2025-09-03 08:33:00;02-1113-2
F-02-19614;;3;1;;;;2025-09-03 08:28:00;02-1113-2
